Country,Region,Happiness,GDP,logGDP,HLE,Social,Freedom,Generosity,Corruption,GDP_1k
Moldova,Commonwealth of Independent States,5.766,12759.099725732218,9.454,65.699,0.857,0.822,-0.079,0.918,12.759099725732218
Ecuador,Latin America and Caribbean,5.764,11081.141738683076,9.313,68.8,0.821,0.842,-0.124,0.843,11.081141738683076
Kyrgyzstan,Commonwealth of Independent States,5.744,5105.123896796746,8.538,64.401,0.893,0.935,0.119,0.908,5.105123896796746
Greece,Western Europe,5.723,29114.74424706672,10.279,72.6,0.823,0.582,-0.288,0.823,29.11474424706672
Bolivia,Latin America and Caribbean,5.716,8484.531830400614,9.046,63.901,0.81,0.875,-0.077,0.839,8.484531830400615
Mongolia,East Asia,5.677,12088.380730216988,9.4,62.5,0.935,0.708,0.116,0.856,12.088380730216988
Paraguay,Latin America and Caribbean,5.653,12682.77433253346,9.448,65.9,0.893,0.876,0.028,0.882,12.682774332533459
Montenegro,Central and Eastern Europe,5.581,20743.744285755543,9.94,68.699,0.858,0.708,-0.034,0.812,20.743744285755543
Dominican Republic,Latin America and Caribbean,5.545,18069.848509231037,9.802,66.102,0.853,0.86,-0.133,0.714,18.069848509231036
North Cyprus,Western Europe,5.536,39183.0682472209,10.576,73.898,0.82,0.795,0.012,0.626,39.1830682472209
Belarus,Commonwealth of Independent States,5.534,19015.315264423196,9.853,66.253,0.91,0.65,-0.18,0.627,19.015315264423197
Russia,Commonwealth of Independent States,5.477,26608.872718590363,10.189,64.703,0.903,0.718,-0.111,0.845,26.608872718590362
Hong Kong S.A.R. of China,East Asia,5.477,59874.14171519782,11,76.82,0.836,0.717,0.067,0.403,59.874141715197815
Tajikistan,Commonwealth of Independent States,5.466,3264.950889184469,8.091,64.281,0.86,0.832,-0.056,0.553,3.264950889184469
Vietnam,Southeast Asia,5.411,7887.227831920681,8.973,68.034,0.85,0.94,-0.098,0.796,7.887227831920681
Libya,Middle East and North Africa,5.41,15093.206184475071,9.622,62.3,0.827,0.771,-0.087,0.667,15.093206184475072
Malaysia,Southeast Asia,5.384,27945.179639314723,10.238,67.102,0.817,0.895,0.125,0.839,27.945179639314723
Indonesia,Southeast Asia,5.345,11672.60590688112,9.365,62.236,0.811,0.873,0.542,0.867,11.672605906881119
Congo (Brazzaville),Sub-Saharan Africa,5.342,3350.952792324801,8.117,58.221,0.636,0.695,-0.068,0.745,3.3509527923248013
China,East Asia,5.339,15882.926400966757,9.673,69.593,0.811,0.904,-0.146,0.755,15.882926400966756
Ivory Coast,Sub-Saharan Africa,5.306,5171.923765841722,8.551,50.114,0.644,0.741,-0.016,0.794,5.171923765841722
Armenia,Commonwealth of Independent States,5.283,13187.17440176412,9.487,67.055,0.799,0.825,-0.168,0.629,13.18717440176412
Nepal,South Asia,5.269,3361.0207450799394,8.12,64.233,0.774,0.782,0.152,0.727,3.3610207450799394
Bulgaria,Central and Eastern Europe,5.266,22381.723732219263,10.016,67,0.931,0.788,-0.096,0.932,22.381723732219264
Maldives,South Asia,5.198,18508.77087375565,9.826,70.6,0.913,0.854,0.024,0.825,18.50877087375565
Azerbaijan,Commonwealth of Independent States,5.171,14314.095069630383,9.569,65.656,0.836,0.814,-0.223,0.506,14.314095069630383
